"year","accession_name","accession","row","column","berry_length","berry_width","berry_weight","num_seeds","num_peds","num_berries","total_berry_weight"
2011,"CNJ02_1_99","R9C36","9","36",22.51,18.19,2.6235,28.8,4.3,1.9,4.578
2012,"CNJ02_1_1","R7C46","7","46",24.13,17.98,2.8985,18.5,3.1,2,4.9589
2012,"CNJ02_1_10","R8C1","8","1",18.01,15.35,1.7619,18.1,3.4,2.2,3.1433
2012,"CNJ02_1_100","R9C37","9","37",20.65,17.82,2.4444,18.8,3.5,1.8,4.0899
2012,"CNJ02_1_101","R9C38","9","38",23.72,18.89,3.1882,21.1,2.7,1.9,5.7009
2012,"CNJ02_1_102","R9C39","9","39",21.05,17.24,2.2297,20.3,3.125,1.875,4.0748
2012,"CNJ02_1_103","R9C40","9","40",22.77,17.8,2.7064,19.2,3.3,2.4,5.8469
2012,"CNJ02_1_104","R9C41","9","41",24.51,16.86,2.6133,14.3,2.875,2,4.9543
2012,"CNJ02_1_105","R9C42","9","42",21.94,18.07,2.7508,28.8,3.75,2.75,6.5808
2012,"CNJ02_1_106","R9C43","9","43",21.95,18.9,2.8027,27.5,4.2,2.1,4.8812
2012,"CNJ02_1_107","R9C44","9","44",26.4,17.63,2.8869,20.2,2.7,1.8,4.4758
2012,"CNJ02_1_108","R9C45","9","45",25.3777777777778,17.4555555555556,2.92,16.6666666666667,3.22222222222222,1.77777777777778,4.29788888888889
2012,"CNJ02_1_109","R9C46","9","46",24.2,17.48,2.8078,23.3,2.9,2.1,5.6048
2012,"CNJ02_1_11","R8C2","8","2",21.42,14.32,1.7655,16.3,4.33333333333333,2.22222222222222,3.0638
2012,"CNJ02_1_110","R9C47","9","47",23.43,17.19,2.5525,21.8,3.6,1.7,3.8285
2012,"CNJ02_1_111","R9C48","9","48",22.23,17.52,2.5724,16.6,4,2.2,4.8031
2012,"CNJ02_1_112","R9C49","9","49",24.42,17.51,2.6909,17.1,4.1,2.3,5.2778
2012,"CNJ02_1_113","R9C50","9","50",25.11,18.18,2.9121,27,4.2,2.2,5.5105
2012,"CNJ02_1_114","R9C51","9","51",21.38,15.33,2.0912,15.2,2.9,1.6,3.0525
2012,"CNJ02_1_115","R9C52","9","52",21.71,17.27,2.5569,19,3.5,1.9,4.4931
2012,"CNJ02_1_116","R9C53","9","53",21.87,16.85,2.466,18.8,3.8,1.9,5.3591
2012,"CNJ02_1_117","R9C54","9","54",24.2222222222222,18.7555555555556,3.1995,17.8,2.8,2,5.6864
2012,"CNJ02_1_118","R10C2","10","2",22.03,16.35,2.3119,14.3,3.3,1.9,3.9148
2012,"CNJ02_1_119","R10C3","10","3",17.33,14.34,1.5035,16.2,4,1.8,2.3866
2012,"CNJ02_1_12","R8C3","8","3",20.46,14.89,1.6221,11.8,4.25,2.375,2.939
2012,"CNJ02_1_120","R10C4","10","4",17.45,16.27,1.8465,16.5,4,2.4,3.5747
2012,"CNJ02_1_121","R10C5","10","5",19.12,16.89,2.0884,25.5,3.2,2.1,3.9177
2012,"CNJ02_1_122","R10C6","10","6",23.25,16.55,2.364,16.7,3.5,1.8,3.9632
2012,"CNJ02_1_123","R10C7","10","7",18.7,14.85,1.5516,16.4,4.8,2.3,2.888
2012,"CNJ02_1_124","R10C8","10","8",22.12,15.75,1.9761,20.4,3.2,2.1,3.6077
2012,"CNJ02_1_125","R10C9","10","9",20.31,17.21,2.1753,22.7,3.9,1.5,3.1612
2012,"CNJ02_1_126","R10C10","10","10",21.33,15.12,1.8604,16.7,3,1.8,3.1744
2012,"CNJ02_1_127","R10C11","10","11",20.99,15.91,1.9798,21.6,4.1,2.3,3.8201
2012,"CNJ02_1_128","R10C12","10","12",23.65,16.991,2.7177,17.7,3,1.7,4.1331
2012,"CNJ02_1_129","R10C13","10","13",22.55,16.31,2.1768,16.7,3.57142857142857,1.42857142857143,3.5497
2012,"CNJ02_1_13","R8C4","8","4",17.68,15.02,1.6201,14.4,3.4,1.9,3.1555
2012,"CNJ02_1_130","R10C14","10","14",20.71,15.97,2.1336,19.4,3.1,2,3.7548
2012,"CNJ02_1_131","R10C15","10","15",21.2555555555556,16.2333333333333,2.23644444444444,21.1111111111111,3,2.11111111111111,3.61788888888889
2012,"CNJ02_1_132","R10C16","10","16",24.34,17.55,2.6513,24.6,3.2,2.3,5.6583
2012,"CNJ02_1_133","R10C17","10","17",21.08,17.22,2.2373,22.4444444444444,3.9,2.4,4.4897
2012,"CNJ02_1_134","R10C18","10","18",20.06,16.71,2.1634,17.7,4,2,3.9529
2012,"CNJ02_1_135","R10C19","10","19",19.56,16.5,1.903,19.1,3.22222222222222,1.66666666666667,3.2188
2012,"CNJ02_1_136","R10C20","10","20",19.89,16.75,2.203,20.4,4.3,2.6,5.2926
2012,"CNJ02_1_137","R10C21","10","21",25.92,17.89,3.0201,16.5,3.7,2.6,6.5023
2012,"CNJ02_1_138","R10C22","10","22",19.01,17.17,2.0918,14.2,3.3,1.6,2.9297
2012,"CNJ02_1_139","R10C23","10","23",21.56,17.04,2.4925,17.5,3.9,1.9,3.5729
2012,"CNJ02_1_14","R8C5","8","5",17.195,15.66,1.8725,21.3,3.5,2.2,3.6946
2012,"CNJ02_1_140","R10C24","10","24",19.35,17.25,2.2469,17.9,4.9,2.3,4.3054
2012,"CNJ02_1_141","R10C25","10","25",22.45,17.56,2.4911,17.2,3.4,1.7,3.8941
2012,"CNJ02_1_142","R10C26","10","26",22.11,17.88,2.8325,26.4,4.5,1.7,4.2658
2012,"CNJ02_1_143","R10C27","10","27",20.81,16.47,2.3033,18.4,4.2,2.5,4.4701
2012,"CNJ02_1_144","R10C28","10","28",20.2,16.97,2.2234,18.5,3.6,2.2,4.2927
2012,"CNJ02_1_145","R10C29","10","29",25.38,18.44,3.0488,19,3.9,2.1,5.5402
2012,"CNJ02_1_146","R10C30","10","30",24.17,18.21,2.9957,28.6,4.1,2.3,5.443
2012,"CNJ02_1_147","R10C31","10","31",23.37,16.1,2.2694,17.7,3.44444444444444,2,4.253
2012,"CNJ02_1_148","R10C32","10","32",24.369,17.168,2.5948,14.4,3.3,1.8,4.3636
2012,"CNJ02_1_149","R10C33","10","33",22.9,17.3,2.8086,14.1,4.6,2.5,6.1992
2012,"CNJ02_1_15","R8C6","8","6",20.65,17.33,2.3856,14.5,3.8,2.3,4.7445
2012,"CNJ02_1_150","R10C34","10","34",22.12,14.72,1.918,6.4,2.8,1.9,3.5944
2012,"CNJ02_1_151","R10C35","10","35",24.21,15.72,2.3661,18.9,3,1.3,2.8562
2012,"CNJ02_1_152","R10C36","10","36",17.2555555555556,15.3888888888889,1.59333333333333,10.3333333333333,2.22222222222222,1.44444444444444,2.246
2012,"CNJ02_1_153","R10C37","10","37",20.32,14.92,1.8205,18.6,2.3,1.5,2.732
2012,"CNJ02_1_154","R10C38","10","38",23.17,17.29,2.4456,17.8,4.7,2.5,5.3599
2012,"CNJ02_1_155","R10C39","10","39",22.79,17.26,2.4657,17.3333333333333,4.4,2.3,4.7641
2012,"CNJ02_1_156","R10C40","10","40",27.28,17.82,3.1401,16.2,3.8,2.5,6.6068
2012,"CNJ02_1_157","R10C41","10","41",21.51,16.85,2.4553,21,3.1,1.6,3.4444
2012,"CNJ02_1_16","R8C7","8","7",22.81,17.02,2.4042,16.7,3.6,1.6,3.7958
2012,"CNJ02_1_17","R8C8","8","8",21.37,17.73,2.7498,28.3,3.7,2.4,5.5172
2012,"CNJ02_1_18","R8C9","8","9",19.1,17.54,2.2911,27.8,3.7,1.9,3.8456
2012,"CNJ02_1_19","R8C10","8","10",17.03,15.56,1.8592,13.9,4.3,2.5,3.7714
2012,"CNJ02_1_2","R7C47","7","47",23.78,17.77,2.9772,15.9,3,1.9,4.8397
2012,"CNJ02_1_20","R8C11","8","11",22.27,16.76,2.4227,19,4.55555555555556,2.22222222222222,4.6317
2012,"CNJ02_1_21","R8C12","8","12",18.79,14.26,1.5577,10.6,4.3,1.7,2.4545
2012,"CNJ02_1_22","R8C13","8","13",19.74,15.56,1.6926,15,3.1,2.1,3.0731
2012,"CNJ02_1_23","R8C14","8","14",23.61,17.36,2.86,18.2,2.9,1.6,4.3794
2012,"CNJ02_1_24","R8C15","8","15",25.96,17.39,2.5863,20.2,4.1,2.7,5.5142
2012,"CNJ02_1_25","R8C16","8","16",25.27,16.95,2.8788,21.9,2.7,1.8,4.5501
2012,"CNJ02_1_26","R8C17","8","17",19.4,17.34,2.2459,13.8,3,1.88888888888889,4.627
2012,"CNJ02_1_27","R8C18","8","18",23.28,18.05,2.8139,20.5,2.9,1.6,4.1744
2012,"CNJ02_1_28","R8C19","8","19",23,17.72,2.5132,17.8,4.42857142857143,3.14285714285714,6.6553
2012,"CNJ02_1_29","R8C20","8","20",20.75,16.77,2.0832,23.7,3.6,2,3.6567
2012,"CNJ02_1_3","R7C48","7","48",24.81,17.17,2.7903,23.5,3.7,2.3,5.4305
