"year","accession_name","accession","berry_length","berry_width","berry_weight","num_seeds","num_peds","num_berries","total_berry_weight","row","column"
2014,"CNJ04_21_32","R4C32",20.33,19.08,2.95,24.5,6.1,3.1,7.7255,"4","32"
2014,"CNJ04_21_33","R4C33",20.08,16.95,2.274,18.8,4,1.875,4.18555555555556,"4","33"
2014,"CNJ04_21_34","R4C34",19.43,17.07,2.319,18.9,4.3,2.9,5.779,"4","34"
2014,"CNJ04_21_35","R4C35",18.84,16.83,2.2398,19.3,5,2.7,5.1599,"4","35"
2014,"CNJ04_21_36","R4C36",19.8,15.93,2.0386,19.7,3.7,2.3,4.1622,"4","36"
2014,"CNJ04_21_4","R4C4",18.16,16.76,2.2294,21.9,5.2,2.2,4.385,"4","4"
2014,"CNJ04_21_5","R4C5",20.7727272727273,16.6272727272727,2.42136363636364,18.6363636363636,5.27272727272727,2.63636363636364,5.171,"4","5"
2014,"CNJ04_21_6","R4C6",20.01,17.03,2.3942,19.2,5.3,2.2,4.6888,"4","6"
2014,"CNJ04_21_7","R4C7",20.03,17.74,2.5293,19.6,5.7,2.4,5.3367,"4","7"
2014,"CNJ04_21_8","R4C8",25.6,16.81,2.853,25.6,3.4,1.3,5.1091,"4","8"
2014,"CNJ04_21_9","R4C9",19.4,16.56,2.1844,9.3,3.4,2.5,4.5585,"4","9"
