row,column,accession_name,year,month,TY,SFY,MFM,PFR,Tacy,Brix,TA,PAC
3,31,CNJ04_2_31,2012,October,406.2,383,2.7,5.4,23,10.3,2.82,1.39
3,32,CNJ04_2_32,2012,October,394,378,2.6,3.9,22,9.2,2.49,1.4
3,33,CNJ04_2_33,2012,October,160.6,141.9,2.3,11.5,72,9.2,2.67,1.22
3,34,CNJ04_2_34,2012,October,447.9,393.9,2.7,10.5,44,9.9,2.88,1.42
3,35,CNJ04_2_35,2012,October,250.2,198.9,2.3,19.1,31,9.9,2.53,1.19
3,36,CNJ04_2_36,2012,October,592.6,372.1,3,36.3,34,9.2,2.55,1.16
4,1,CNJ04_21_1,2012,October,280.6,167.7,2.7,36.6,35,9.9,2.86,1.08
4,2,CNJ04_21_2,2012,October,159.1,109.3,2,29.2,30,9.7,2.38,1.72
4,3,CNJ04_21_3,2012,October,107.2,102.2,2.6,3.7,28,8.4,3.15,1.18
4,4,CNJ04_21_4,2012,October,196.6,126.2,2.9,34.2,53,10.1,2.35,1.18
4,5,CNJ04_21_5,2012,October,407.1,365.6,2.3,10.2,31,8.8,2.34,1.54
4,6,CNJ04_21_6,2012,October,381.1,313.4,2.7,17.4,28,9.7,2.84,0.95
4,7,CNJ04_21_7,2012,October,394.4,237.7,2.9,33.3,39,9,2.45,1.45
4,8,CNJ04_21_8,2012,October,480.8,294.6,3.1,38.2,29,9,2.82,1.24
4,9,CNJ04_21_9,2012,October,20.9,10.8,2.2,48.3,23,10.6,2.65,1.65
4,10,CNJ04_21_10,2012,October,246.6,154.1,3.5,37,49,9.7,2.82,1.11
4,11,CNJ04_21_11,2012,October,217.5,163.6,2.5,24.2,43,9.2,2.68,1.05
4,12,CNJ04_21_12,2012,October,122.4,104.5,2.5,14.1,55,9.2,2.71,1.28
4,13,CNJ04_21_13,2012,October,308.4,212.9,2.7,30.3,48,8.6,2.42,1.33
4,14,CNJ04_21_14,2012,October,342.6,155.8,3.1,53.9,41,9,2.86,1.77
4,15,CNJ04_21_15,2012,October,296.8,261.3,2.7,11.8,47,8.8,2.82,1.32
